2025-08-06 11:41:19.036 | INFO     | logger.py:137 - 日志系统初始化完成
2025-08-06 15:44:44.022 | INFO     | analyzer.py:270 - 开始并发处理 1 个有效文件...
2025-08-06 15:45:09.290 | INFO     | analyzer.py:135 - 项目分析完成: ByteWise_py3_11
2025-08-06 15:51:24.086 | INFO     | logger.py:137 - 日志系统初始化完成
2025-08-06 15:52:01.951 | INFO     | logger.py:137 - 日志系统初始化完成
2025-08-06 15:52:50.673 | INFO     | analyzer.py:91 - 扫描项目文件...
2025-08-06 15:52:50.675 | INFO     | analyzer.py:93 - 发现 15 个代码文件
2025-08-06 15:52:50.675 | INFO     | analyzer.py:107 - 处理文件并分割代码块...
2025-08-06 15:52:50.689 | INFO     | analyzer.py:111 - 生成项目摘要...
2025-08-06 15:53:12.435 | INFO     | analyzer.py:116 - 分析项目战术...
2025-08-06 15:53:25.974 | INFO     | analyzer.py:120 - 分析文件技术...
2025-08-06 15:53:25.974 | INFO     | analyzer.py:270 - 开始并发处理 1 个有效文件...
2025-08-06 15:53:50.637 | INFO     | analyzer.py:135 - 项目分析完成: ByteWise_py3_11
2025-08-06 15:55:16.582 | INFO     | logger.py:137 - 日志系统初始化完成
2025-08-06 15:55:28.014 | INFO     | analyzer.py:91 - 扫描项目文件...
2025-08-06 15:55:28.017 | INFO     | analyzer.py:93 - 发现 15 个代码文件
2025-08-06 15:55:28.018 | INFO     | analyzer.py:107 - 处理文件并分割代码块...
2025-08-06 15:55:28.031 | INFO     | analyzer.py:111 - 生成项目摘要...
2025-08-06 15:55:53.453 | INFO     | analyzer.py:116 - 分析项目战术...
2025-08-06 15:56:11.954 | INFO     | analyzer.py:120 - 分析文件技术...
2025-08-06 15:56:11.954 | INFO     | analyzer.py:270 - 开始并发处理 1 个有效文件...
2025-08-06 15:56:27.004 | INFO     | analyzer.py:135 - 项目分析完成: ByteWise_py3_11
2025-08-06 15:57:41.820 | INFO     | logger.py:137 - 日志系统初始化完成
2025-08-06 15:57:52.820 | INFO     | analyzer.py:91 - 扫描项目文件...
2025-08-06 15:57:52.822 | INFO     | analyzer.py:93 - 发现 15 个代码文件
2025-08-06 15:57:52.822 | INFO     | analyzer.py:107 - 处理文件并分割代码块...
2025-08-06 15:57:52.835 | INFO     | analyzer.py:111 - 生成项目摘要...
2025-08-06 15:58:17.235 | INFO     | analyzer.py:116 - 分析项目战术...
2025-08-06 15:58:30.586 | INFO     | analyzer.py:120 - 分析文件技术...
2025-08-06 15:58:30.586 | INFO     | analyzer.py:270 - 开始并发处理 1 个有效文件...
2025-08-06 15:58:53.508 | INFO     | analyzer.py:135 - 项目分析完成: ByteWise_py3_11
2025-08-06 16:10:01.758 | INFO     | logger.py:137 - 日志系统初始化完成
2025-08-06 16:14:06.344 | INFO     | logger.py:137 - 日志系统初始化完成
